"business_id","name","state","categories","is_open","BusinessAcceptsCreditCards","stars","State1","TotalOpenTime","review_count","Numphotos","AcceptCards"
"EsMcGiZaQuG1OOvL9iUFug","Any Given Sundae","PA","Coffee & Tea,Ice Cream & Frozen Yogurt,Food","1","1","5","2","0","15","0","1"
"FXHfcFVEfI1vVngW2gVOpw","Bampot House of Tea & Board Games","ON","Coffee & Tea,Restaurants,Food,Mediterranean,Tea Rooms","1","1","3","2","55","55","1","1"
"1nhf9BPXOBFBkbRkpsFaxA","Mirage Grill & Lounge","ON","Breakfast & Brunch,Food,Coffee & Tea,Canadian (New),Restaurants","0","1","1","2","33","6","7","1"
"5q6Xh-UcJa78bp6dzyaE7w","Duck Donuts","NC","Breakfast & Brunch,Food,Coffee & Tea,Donuts,Restaurants","1","1","2","2","57","373","18","1"
"5q6Xh-UcJa78bp6dzyaE7w","Duck Donuts","NC","Breakfast & Brunch,Food,Coffee & Tea,Donuts,Restaurants","1","1","4","2","57","373","18","1"
"0jxh10zrKlRetrBZ3H7NwA","Bubble Tea and Me","ON","Coffee & Tea,Food","1","1","3","2","61","34","0","1"
"4sDkQE1qUJElauRedcLmrw","Goed Eten","ON","Coffee & Tea,Food,Ice Cream & Frozen Yogurt","0","null","3","2","18","20","0","0"
"z1jWE9gO4ehWJESM_H7zpA","Icha Tea","ON","Tea Rooms,Coffee & Tea,Food,Desserts","1","N/A","5","2","46","56","0","0"
"G54fcIaoI89tc6X285suRA","DD'Coffee Shop","NV","American (New),Music Venues,Burgers,Persian/Iranian,Nightlife,Arts & Entertainment,Mediterranean,Coffee & Tea,Bars,Restaurants,Breakfast & Brunch,Cocktail Bars,Food","0","1","5","1","55","39","5","1"
"DHUAQ4pzH9KKzGZDm1jZLg","Krispy Kreme Doughnuts","NV","Donuts,Cafes,Restaurants,Coffee & Tea,Food","1","1","2","1","85","133","2","1"
"DHUAQ4pzH9KKzGZDm1jZLg","Krispy Kreme Doughnuts","NV","Donuts,Cafes,Restaurants,Coffee & Tea,Food","1","1","5","1","85","133","2","1"
"U1LB3sRMGTu_h7Sf9QdNoA","Le Neuf Café","ON","Coffee & Tea,French,Restaurants,Food","0","1","4","2","70","139","4","1"
